GrLivArea,SalePrice
2011,31686
2012,32532
2013,32991
2014,32831
2015,33216
2016,33047
2017,33186
2018,33464
2019,33892
1990,93
1991,93
1992,95
1993,98
1994,103
1995,111
1996,122
1997,135
1998,147
1999,156
2000,161
2001,161
2002,160
2003,164
2004,170
2005,174
2006,182
2007,187
2008,188
2009,195
2010,205
2011,213
2012,219
2013,228
2014,240
2015,251
2016,259
2017,271
2018,287
2019,299
1990,2130
1991,2178
1992,2225
1993,2277
1994,2349
1995,2420
1996,2492
1997,2546
1998,2611
1999,2675
2000,2768
2001,2842
2002,2952
2003,3037
2004,3142
2005,3229
2006,3343
2007,3441
2008,3586
2009,3755
2010,3916
2011,4086
2012,4227
2013,4364
2014,4484
2015,4613
2016,4767
2017,4948
2018,5063
2019,5247
1990,124
1991,123
1992,121
1993,122
1994,122
1995,120
1996,123
1997,122
1998,122
1999,124
2000,127
2001,127
2002,129
2003,130
2004,129
2005,130
2006,133
2007,135
2008,139
2009,142
2010,145
2011,148
2012,151
2013,155
2014,159
2015,163
2016,166
2017,171
2018,175
2019,179
1990,212
1991,217
1992,220
1993,226
1994,232
1995,239
1996,244
1997,253
1998,262
1999,263
2000,275
2001,280
2002,285
2003,294
2004,302
2005,309
2006,315
2007,329
2008,340
2009,352
2010,365
2011,377
2012,388
2013,400
2014,412
2015,424
2016,436
2017,448
2018,461
2019,474
1990,5514
1991,5679
1992,5872
1993,6072
1994,6238
1995,6456
1996,6628
1997,6941
1998,7166
1999,7382
2000,7642
2001,7873
2002,8140
2003,8375
2004,8617
2005,8884
2006,9163
2007,9505
2008,9820
2009,10143
2010,10485
2011,10866
2012,11217
2013,11559
2014,11803
2015,12216
2016,12761
2017,13150
2018,13610
2019,14035
1990,5786
1991,6291
1992,6342
1993,6433
1994,6477
1995,6508
1996,6550
1997,6666
1998,6596
1999,6777
2000,7083
2001,7393
2002,7739
2003,7964
2004,8094
2005,8481
2006,8509
2007,8964
2008,8678
2009,8771
2010,8801
2011,8857
2012,8859
2013,9012
2014,9128
2015,9346
2016,9308
2017,9335
2018,9431
2019,9482
2007,1399
2008,1449
2009,1489
2010,1545
2012,1655
2013,1712
2016,1868
1990,740
1991,789
1992,847
1993,905
1994,972
1995,1039
1996,1098
1997,1153
1998,1218
1999,1278
2000,1341
2001,1390
2002,1428
2003,1438
2004,1418
2005,1390
2006,1395
2011,1608
2014,1773
2015,1824
2017,1935
2018,2008
2019,2076
1990,117672
1991,119232
1992,123095
1993,129215
1994,132940
1995,137053
1996,142403
1997,146369
1998,152347
1999,157697
2000,162732
2001,167936
2002,173241
2003,178652
2004,184180
2005,186595
2006,192001
2007,197167
2008,202719
2009,208607
2010,214526
2011,220411
2012,224727
2013,230413
2014,235262
2015,241818
2016,250600
2017,252787
2018,258368
2019,266014
1990,213
1991,214
1992,215
1993,216
1994,213
1995,214
1996,213
1997,219
1998,226
1999,233
2000,241
2001,246
2002,257
2003,273
2004,287
2005,299
2006,310
2007,320
2008,329
2009,345
2010,363
2011,377
2012,394
2013,416
2014,434
2015,453
2016,473
2017,491
2018,510
2019,528
1990,17101
1991,16338
1992,15793
1993,14764
1994,14494
1995,14179
1996,14043
1997,14245
1998,14094
1999,13925
2000,14329
2001,14747
2002,15396
2003,16310
2004,17868
2005,19242
2006,20346
2007,21077
2008,21568
2009,21896
2010,22215
2011,22455
2012,22437
2013,22346
2014,22915
2015,22744
2016,22444
2017,22221
2018,22179
2019,22009
1990,4367
1991,4380
1992,4437
1993,4505
1994,4576
1995,4661
1996,4702
1997,4815
1998,4948
1999,4994
2000,5138
2001,5159
2002,5261
2003,5437
2004,5655
2005,5863
2006,5999
2007,6110
2008,6253
2009,6421
2010,6748
2011,6993
2012,7367
2013,7792
2014,8165
2015,8576
2016,9017
2017,9477
2018,9876
2019,10125
1990,3494
1991,3533
1992,3561
1993,3630
1994,3652
1995,3680
1996,3679
1997,3651
1998,3633
1999,3585
2000,3550
2001,3470
2002,3491
2003,3546
2004,3623
2005,3699
2006,3726
2007,3760
2008,3806
2009,3879
2010,4030
2011,4156
2012,4302
2013,4435
2014,4537
2015,4624
2016,4699
2017,4843
2018,5099
2019,5275
1990,6216
1991,6315
1992,6441
1993,6598
1994,6762
1995,6928
1996,7059
1997,7190
1998,7356
1999,7519
2000,7653
2001,7822
2002,8040
2003,8254
2004,8511
2005,8768
2006,8999
2007,9318
2008,9629
2009,9944
2010,10345
2011,10723
2012,11114
2013,11526
2014,11963
2015,12436
2016,12927
2017,13424
2018,13998
2019,14553
1990,4736
1991,4896
1992,5076
1993,5283
1994,5462
1995,5650
1996,5851
1997,6103
1998,6386
1999,6645
2000,6965
2001,7221
2002,7586
2003,7908
2004,8229
2005,8586
2006,8953
2007,9201
2008,9551
2009,9969
2010,10446
2011,10940
2012,11370
2013,11833
2014,12232
2015,12532
2016,12930
2017,13315
2018,13825
2019,14258
1990,53929
1991,55028
1992,56088
1993,57495
1994,58360
1995,59509
1996,60279
1997,61052
1998,62095
1999,62822
2000,63646
2001,64211
2002,65032
2003,66785
2004,68084
2005,69538
2006,70821
2007,72965
2008,74584
2009,75628
2010,76141
2011,77371
2012,79147
2013,80681
2014,82675
2015,83590
2016,84988
2017,86590
2018,90494
2019,93072
1990,257
1991,263
1992,268
1993,277
1994,285
1995,296
1996,318
1997,349
1998,364
1999,376
2000,383
2001,392
2002,400
2003,408
2004,417
2005,426
2006,407
2007,408
2008,419
2009,431
2010,443
2011,461
2012,481
2013,493
2014,510
2015,530
2016,561
2017,585
2018,713
2019,717
1990,1656
1991,1702
1992,1706
1993,1753
1994,1789
1995,1816
1996,1873
1997,1887
1998,1922
1999,1957
2000,1958
2001,1980
2002,2017
2003,2044
2004,2072
2005,2098
2006,2139
2007,2166
2008,2180
2009,2229
2010,2310
2011,2373
2012,2402
2013,2442
2014,2458
2015,2478
2016,2513
2017,2554
2018,2605
2019,2657
2007,4284
2008,4437
2009,4596
2015,5530
1990,2622
1991,2645
1992,2726
1993,2812
1994,2864
1995,2924
1996,3051
1997,3147
1998,3229
1999,3319
2000,3394
2001,3505
2002,3628
2003,3770
2004,3888
2005,3986
2006,4116
2010,4766
2011,4926
2012,5083
2013,5229
2014,5382
2016,5697
2017,5882
2018,6079
2019,6250
1990,16587
1991,16573
1992,16715
1993,17216
1994,17675
1995,18347
1996,18836
1997,18970
1998,19363
1999,19831
2000,20025
2001,20607
2002,20958
2003,21575
2004,22062
2005,22312
2006,22611
2007,23081
2008,23382
2009,24500
2010,25411
2011,25919
2012,26528
2013,27203
2014,27672
2015,28354
2016,28698
2017,29819
2018,30748
2019,31648
2007,2126460
2008,2168067
2009,2214787
2010,2265802
2011,2296328
2012,2318471
2013,2337453
2014,2378155
2015,2414868
2016,2477718
1990,1458904
1991,1494929
1992,1523458
1993,1559122
1994,1588344
1995,1622611
1996,1660499
1997,1693219
1998,1736175
1999,1794956
2000,1867021
2001,1912694
2002,1956916
2003,2010015
2004,2082868
2005,2113440
2006,2106086
2017,2543288
2018,2621322
2019,2716551
1990,23337
1991,24626
1992,25300
1993,25894
1994,26564
1995,26912
1996,27848
1997,27597
1998,27892
1999,29080
2000,29833
2001,30730
2002,34066
2003,33522
2004,34187
2005,33884
2006,35159
2007,35397
2008,36675
2009,38780
2010,39577
2011,39304
2012,40320
2013,41125
2014,41977
2015,43656
2016,45158
2017,46478
2018,48033
2019,49460
1990,261
1991,267
1992,284
1993,293
1994,307
1995,318
1996,328
1997,333
1998,334
1999,338
2000,351
2001,356
2002,361
2003,361
2004,355
2005,372
2006,363
2007,395
2008,411
2009,402
2010,401
2011,419
2012,433
2013,447
2014,494
2015,506
2016,518
2017,533
2018,535
2019,544
1990,1657
1991,1671
1992,1694
1993,1734
1994,1831
1995,1884
1996,1952
1997,2002
1998,1961
1999,1978
2000,1953
2001,1912
2002,1908
2003,1976
2004,2029
2005,2089
2006,2151
2007,2221
2008,2295
2009,2362
2010,2431
2011,2502
2012,2618
2013,2721
2014,2822
2015,2908
2016,2994
2017,3104
2018,3235
2019,3363
1990,19
1991,19
1992,19
1993,20
1994,20
1995,20
1996,20
1997,20
1998,21
1999,21
2000,21
2001,22
2002,22
2003,23
2004,23
2005,23
2006,24
2007,24
2008,25
2009,25
2010,26
2011,26
2012,27
2013,28
2014,28
2015,29
2016,30
2017,31
2018,31
2019,32
1990,2345
1991,2436
1992,2540
1993,2599
1994,2782
1995,2967
1996,2947
1997,3035
1998,3145
1999,3294
2000,3284
2001,3417
2002,3396
2003,3562
2004,3717
2005,3630
2006,3914
2007,3679
2008,3905
2009,4045
2010,4587
2011,4542
2012,4650
2013,4815
2014,4924
2015,5181
2016,5513
2017,5692
2018,5892
2019,6049
1990,4507
1991,4731
1992,4980
1993,5278
1994,5566
1995,5852
1996,6083
1997,6276
1998,6507
1999,6725
2000,6979
2001,7189
2002,7395
2003,7584
2004,7762
2005,7902
2006,8094
2007,8207
2008,8365
2009,8624
2010,8909
2011,9158
2012,9516
2013,9972
2014,10291
2015,10580
2016,10641
2017,10866
2018,11345
2019,11587
1990,11658
1991,11493
1992,11540
1993,11552
1994,11486
1995,11539
1996,11820
1997,12103
1998,11965
1999,11791
2000,11266
2001,11150
2002,11461
2003,12149
2004,12124
2005,12627
2006,12603
2007,12975
2008,13740
2009,13729
2010,13838
2011,13947
2012,14144
2013,13916
2014,14200
2015,14693
2016,14034
2017,14012
2018,13969
2019,14024
1990,14864
1991,15061
1992,15512
1993,15848
1994,15997
1995,16054
1996,16095
1997,16127
1998,16573
1999,17039
2000,17343
2001,17979
2002,17914
2003,18784
2004,19484
2005,20350
2006,20229
2007,20907
2008,21675
2009,22288
2010,22905
2011,22356
2012,23371
2013,24014
2014,24740
2015,25823
2016,26281
2017,27465
2018,27991
2019,27785
1990,945
1991,978
1992,1018
