GrLivArea,SalePrice
1995,5191
1996,5296
1997,5781
1998,6232
1999,6485
2000,6960
2001,7307
2002,7627
2003,8032
2004,8438
2005,8717
2006,9045
2007,9183
2008,9355
2009,9732
2010,10103
2011,10344
2012,10519
2013,10712
2014,10939
2015,11211
2016,11520
2017,11758
2018,12150
2019,12605
1990,4626
1991,4777
1992,4944
1993,5114
1994,5317
1995,5486
1996,5653
1997,5831
1998,6025
1999,6192
2000,6282
2001,6414
2002,6569
2003,6684
2004,6835
2005,6960
2006,7093
2007,7191
2008,7282
2009,7372
2010,7522
2011,7628
2012,7750
2013,7880
2014,8028
2015,8143
2016,8211
2017,8284
2018,8402
2019,8426
1990,574
1991,578
1992,582
1993,587
1994,592
1995,598
1996,603
1997,606
1998,611
1999,616
2000,626
2001,640
2002,659
2003,677
2004,702
2005,713
2006,731
2007,759
2008,775
2009,792
2010,808
2011,824
2012,838
2013,860
2014,881
2015,900
2016,925
2017,944
2018,956
2019,976
1990,513
1991,493
1992,483
1993,505
1994,496
1995,504
1996,528
1997,525
1998,534
1999,545
2000,604
2001,588
2002,596
2003,596
2004,601
2005,604
2006,605
2007,622
2008,634
2009,634
2010,655
2011,665
2012,684
2013,693
2014,717
2015,722
2016,734
2017,749
2018,767
2019,780
1990,5836
1991,5824
1992,5931
1993,6008
1994,6054
1995,6111
1996,6106
1997,6206
1998,6153
1999,6302
2000,6444
2001,6651
2002,6820
2003,7041
2004,7277
2005,7484
2006,7675
2007,7892
2008,8072
2009,8256
2010,8318
2011,8491
2012,8736
2013,8996
2014,9244
2015,9507
2016,9739
2017,9980
2018,10254
2019,10517
1990,2208
1991,2252
1992,2412
1993,2472
1994,2542
1995,2790
1996,2953
1997,3054
1998,3158
1999,3273
2000,3379
2001,3517
2002,3670
2003,3840
2004,4009
2005,4162
2006,4331
2007,4509
2008,4735
2009,4999
2010,5311
2011,5749
2012,6286
2013,6492
2014,6689
2015,6879
2016,7092
2017,7307
2018,7532
2019,7743
1990,
1991,
1992,
1994,
1995,
1996,
2000,
2001,
2005,
2008,
1990,31280
1991,31433
1992,32909
1993,33455
1994,33370
1995,33647
1996,32860
1997,33325
1998,34412
1999,35153
2000,34527
2001,34712
2002,35369
2003,36101
2004,35952
2005,36538
2006,36166
2007,36688
2008,36025
2009,36192
2010,35779
2011,35470
2012,34861
2013,33888
2014,34052
2015,34557
2016,33971
2017,34277
2018,34832
2019,34293
1990,439
1991,448
1992,456
1993,463
1994,473
1995,486
1996,496
1997,502
1998,506
1999,503
2000,502
2001,511
2002,523
2003,527
2004,534
2005,546
2006,561
2007,573
2008,578
2009,588
2010,594
2011,600
2012,609
2013,611
2014,594
2015,605
2016,617
2017,625
2018,636
2019,654
2007,601219
2008,625818
2009,634222
2012,707505
2013,739345
2015,801613
1990,376687
1991,387105
1992,395789
1993,406002
1994,417586
1995,423498
1996,442878
1997,473691
1998,486666
1999,489035
2000,499674
2001,515066
2002,526889
2003,529603
2004,525969
2005,551872
2006,576557
2010,657124
2011,684892
2014,760977
2016,833843
2017,860385
2018,898606
2019,932587
2007,164406
2008,168946
2009,173532
2013,193469
2015,202962
2016,209282
1990,95636
1991,98800
1992,102344
1993,105995
1994,109559
1995,113315
1996,117565
1997,121912
1998,126010
1999,130040
2000,134197
2001,137844
2002,141586
2003,145558
2004,149842
2005,154637
2006,159526
2010,177788
2011,183379
2012,188339
2014,198139
2017,215810
2018,222732
2019,229524
2007,41218
2008,42918
2009,44685
2010,46722
2011,48991
2012,51230
2013,53763
2014,56475
2015,59217
2016,61079
1990,26647
1991,27115
1992,27599
1993,28131
1994,28677
1995,29282
1996,29918
1997,30500
1998,31120
1999,31651
2000,32533
2001,33650
2002,34545
2003,35553
2004,36771
2005,38266
2006,39845
2017,62872
2018,64696
2019,66792
2007,13553
2008,14437
2009,14879
2010,15789
2011,16756
2012,17908
2013,19164
2014,20123
2015,20714
2016,21435
1990,7968
1991,8247
1992,8613
1993,8900
1994,9112
1995,9413
1996,9738
1997,10027
1998,10284
1999,10559
2000,10884
2001,11258
2002,11647
2003,12083
2004,12434
2005,12731
2006,13051
2017,22210
2018,23326
2019,24413
1990,7338
1991,7388
1992,7467
1993,7539
1994,7488
1995,7602
1996,7591
1997,7647
1998,7725
1999,7869
2000,7903
2001,7856
2002,7897
2003,7960
2004,8083
2005,8111
2006,8278
2007,8387
2008,8560
2009,8746
2010,8711
2011,9017
2012,9148
2013,9289
2014,9389
2015,9537
2016,9627
2017,9843
2018,10113
2019,10384
1990,7083
1991,7583
1992,8083
1993,8383
1994,8781
1995,9230
1996,9528
1997,9795
1998,10099
1999,10275
2000,10437
2001,10531
2002,10730
2003,10875
2004,10900
2005,11078
2006,11273
2007,11578
2008,11656
2009,11751
2010,12037
2011,12314
2012,12499
2013,12688
2014,12855
2015,13222
2016,13386
2017,13700
2018,14212
2019,14627
1990,150468
1991,153729
1992,155014
1993,156976
1994,159152
1995,160486
1996,162212
1997,163875
1998,166834
1999,167759
2000,168116
2001,169591
2002,170780
2003,172929
2004,170704
2005,171231
2006,172461
2007,174694
2008,177251
2009,179228
2010,179568
2011,181479
2012,183217
2013,182582
2014,183059
2015,186938
2016,185133
2017,186417
2018,189590
2019,192052
2007,3377
2008,3812
2009,4009
1990,2048
1991,1985
1992,2069
1993,2185
1994,2251
1995,2265
1996,2440
1997,2628
1998,2845
1999,3057
2000,3173
2001,3251
2002,3177
2003,3112
2004,3055
2005,2959
2006,3042
2010,3625
2011,3874
2012,3674
2013,3694
2014,3960
2015,4045
2016,4105
2017,4161
2018,4230
2019,4338
2007,372831
2008,379320
2009,384511
2010,394137
2012,409993
2013,414556
2014,417643
2015,420328
2016,425630
1990,242827
1991,250951
1992,260596
1993,268657
1994,274431
1995,286045
1996,291298
1997,297977
1998,309916
1999,319388
2000,322782
2001,326594
2002,332266
2003,341661
2004,349905
2005,360992
2006,365726
2011,404601
2017,427813
2018,434600
2019,442474
2007,2664
2008,2744
2009,2889
2014,3958
2015,4234
1990,1388
1991,1434
1992,1473
1993,1564
1994,1626
1995,1694
1996,1758
1997,1799
1998,1853
1999,1899
2000,1934
2001,1993
2002,2066
2003,2129
2004,2278
2005,2439
2006,2587
2010,3066
2011,3268
2012,3483
2013,3694
2016,4557
2017,4891
2018,5268
2019,5643
1990,22895
1991,22916
1992,23235
1993,24134
1994,24450
1995,24581
1996,23903
1997,22943
1998,21994
1999,21251
2000,20999
2001,20874
2002,20916
2003,21087
2004,20991
2005,21172
2006,21240
2007,21195
2008,20846
2009,20594
2010,20891
2011,20998
2012,21027
2013,20447
2014,20181
2015,20092
2016,20350
2017,20468
2018,20896
2019,21073
2007,14604
2008,15287
2009,16101
1990,6900
1991,7163
1992,7433
1993,7671
1994,7923
1995,8181
1996,8454
1997,8786
1998,9151
1999,9477
2000,9988
2001,10390
2002,11078
2003,11879
2004,12532
2005,13213
2006,13945
2010,17166
2011,17798
2012,18350
2013,18896
2014,19431
2015,19977
2016,20617
2017,21394
2018,22346
2019,23292
1990,75
1991,77
1992,78
1993,79
1994,79
1995,79
1996,80
1997,82
1998,84
1999,86
2000,87
2001,89
2002,90
2003,91
2004,93
2005,94
2006,96
2007,99
2008,102
2009,105
2010,107
2011,109
2012,111
2013,113
2014,114
2015,117
2016,119
2017,122
2018,125
2019,128
1999,
2000,
2001,
2002,
2003,
2004,
2005,
2006,
2007,
2008,
2009,
2010,
2011,
2012,
2013,
2014,
2015,
2016,
2017,
2007,945
2008,1077
2009,1076
2013,1152
1990,501
1991,455
1992,432
1993,459
1994,490
1995,522
1996,539
1997,604
1998,612
1999,664
2000,690
2001,678
2002,730
2003,744
2004,785
2005,835
2006,899
2010,1026
2011,1039
2012,1106
2014,1203
2015,1255
2016,1347
2017,1439
2018,1545
2019,1653
1990,4113
1991,4168
1992,4168
1993,4270
1994,4372
1995,4259
1996,4005
1997,3830
1998,3704
1999,3530
2000,3467
2001,3415
2002,3413
2003,3466
2004,3419
2005,3451
2006,3544
2007,3564
2008,3557
2009,3499
2010,3539
2011,3626
2012,3678
2013,3736
2014,3823
2015,3947
2016,3926
2017,4020
2018,4050
2019,4150
1990,3057
1991,3110
1992,3170
1993,3225
1994,3275
1995,3329
1996,3361
1997,3397
1998,3430
1999,3459
2000,3460
2001,3495
2002,3498
2003,3516
2004,3538
2005,3583
2006,3630
2007,3679
2008,3761
2009,3821
2010,3876
2011,3934
2012,4008
2013,4111
2014,4229
2015,4365
2016,4499
2017,4637
2018,4804
2019,4975
1990,359499
1991,365925
1992,377806
1993,390873
1994,401058
1995,412301
1996,424062
1997,434068
1998,448783
1999,460751
2000,470664
2001,483098
2002,500356
2003,515070
2004,525732
2005,535234
2006,547907
2007,561119
2008,577279
2009,597210
2010,609389
2011,620975
2012,635133
2013,652176
2014,666007
2015,683375
2016,706046
2017,723154
2018,740600
2019,762569
1990,5626
1991,5635
1992,5738
1993,6285
1994,6711
1995,6298
1996,5532
1997,5419
1998,5709
1999,5537
2000,5481
2001,5773
2002,5771
2003,5780
2004,5832
2005,6109
2006,6447
2007,6456
2008,6207
2009,6102
2010,6111
2011,6063
2012,5998
2013,6092
2014,5966
2015,5842
2016,5635
2017,5608
2018,5609
2019,5601
1990,2932
1991,2993
1992,3078
1993,3159
1994,3210
1995,3285
1996,3379
1997,3496
1998,3611
1999,3782
2000,3975
2001,4198
2002,4422
2003,4648
2004,4869
2005,5093
2006,5315
2007,5532
2008,5725
2009,5921
2010,6105
2011,6332
2012,6547
2013,6740
2014,6892
2015,7016
2016,7136
2017,7254
2018,7379
2019,7493
1990,1069
1991,1083
1992,1107
1993,1131
1994,1168
1995,1199
1996,1230
1997,1272
1998,1345
1999,1420
2000,1518
2001,1570
2002,1640
2003,1718
2004,1772
2005,1811
2006,1834
2007,1858
2008,1898
2009,1917
2010,1962
2011,1996
2012,2058
2013,2113
2014,2155
2015,2177
2016,2168
2017,2163
2018,2184
2019,2216
1990,1163
1991,1193
1992,1205
1993,1202
1994,1202
1995,1184
1996,1211
1997,1193
1998,1194
1999,1188
2000,1210
2001,1219
2002,1244
2003,1260
2004,1290
2005,1332
2006,1392
2007,1441
2008,1494
2009,1568
2010,1642
2011,1696
2012,1773
2013,1821
2014,1824
2015,1853
2016,1882
2017,1916
2018,1982
2019,2053
2007,3370
2008,3562
2009,3770
2010,3822
1990,2033
1991,2066
1992,2096
1993,2139
1994,2179
1995,2214
1996,2248
1997,2359
1998,2487
1999,2591
2000,2670
2001,2745
2002,2831
2003,2868
2004,2834
2005,2901
2006,3022
2011,3945
2012,4069
2013,4225
2014,4424
2015,4599
2016,4781
2017,4979
2018,5202
2019,5435
1990,7018
1991,7355
1992,7289
1993,7953
1994,8160
1995,8048
1996,7681
1997,7429
1998,7596
1999,7597
2000,7634
2001,7991
2002,7965
2003,8058
2004,8077
2005,8483
2006,8640
2007,9074
2008,8931
2009,8383
2010,8535
2011,8428
2012,8371
2013,8453
2014,8251
2015,8409
2016,8404
2017,7956
2018,7947
2019,7870
1990,1039
1991,1048
1992,1047
1993,1054
1994,1052
1995,1059
1996,1059
1997,1058
1998,1068
1999,1070
2000,1085
2001,1075
2002,1084
2003,1089
2004,1112
2005,1122
2006,1135
2007,1141
2008,1144
2009,1164
2010,1175
2011,1184
2012,1197
2013,1209
2014,1216
2015,1207
2016,1195
2017,1226
2018,1258
2019,1295
1995,
1996,
1997,
1998,
1990,5984
1991,6020
1992,6066
1993,6222
1994,6112
1995,6324
1996,6391
1997,6511
1998,6650
1999,6651
2000,6708
2001,6782
2002,6979
2003,7131
2004,7254
2005,7361
2006,7419
2007,7520
2008,7797
2009,8040
2010,8226
2011,8457
2012,8699
2013,8933
2014,9214
2015,9508
2016,9844
2017,10224
2018,10639
2019,11011
1990,6028
1991,6155
1992,6256
1993,6276
1994,6300
1995,6330
1996,6361
1997,6463
1998,6645
1999,6877
2000,7022
2001,7039
2002,7146
2003,7296
2004,7374
2005,7396
2006,7401
2007,7398
2008,7446
2009,7681
2010,7991
2011,8300
2012,8472
2013,8621
2014,8787
2015,9005
2016,9210
2017,9425
2018,9788
2019,10110
2007,19362
2008,20346
2010,21545
2013,23242
2014,24611
2015,25722
2016,27133
1990,11157
1991,11395
1992,11770
1993,12292
1994,12971
1995,13847
1996,14025
1997,14298
1998,14502
1999,16058
2000,15811
2001,16144
2002,16690
2003,17388
2004,17720
2005,18170
2006,18801
2009,21279
2011,22087
2012,22922
2017,28348
2018,29603
2019,31294
1990,95
1991,98
1992,101
1993,103
1994,103
1995,105
1996,110
1997,114
1998,114
1999,113
2000,116
2001,119
2002,117
2003,119
2004,120
2005,121
2006,125
2007,129
2008,134
2009,138
2010,143
2011,148
2012,154
2013,160
2014,167
2015,173
2016,182
2017,192
2018,203
2019,214
1990,4603
1991,4669
1992,4776
1993,4872
1994,4991
1995,5125
1996,5203
1997,5264
1998,5302
1999,5356
2000,5464
2001,5532
2002,5702
2003,5815
2004,5949
2005,6086
2006,6227
2007,6425
2008,6621
2009,6829
2010,7024
2011,7166
2012,7330
2013,7524
2014,7745
2015,8044
2016,8499
2017,8860
2018,9107
2019,9336
1990,615
1991,619
1992,626
1993,635
1994,638
1995,655
1996,668
1997,682
1998,686
1999,702
2000,721
2001,737
2002,755
2003,768
2004,777
2005,782
2006,790
2007,810
2008,831
2009,851
2010,868
2011,885
2012,901
2013,913
2014,928
2015,919
2016,941
2017,960
2018,979
2019,1002
1990,26
1991,27
1992,27
1993,28
1994,27
1995,28
1996,29
1997,30
1998,31
1999,31
2000,32
2001,33
2002,34
2003,35
2004,36
2005,37
2006,38
2007,39
2008,40
2009,41
2010,42
2011,43
2012,44
2013,46
2014,47
2015,48
2016,49
2017,51
2018,52
2019,54
1991,
1992,
1990,1151
1991,1154
1992,1167
1993,1186
1994,1167
1995,1153
1996,1170
1997,1176
1998,1202
1999,1193
2000,1216
2001,1255
2002,1288
2003,1307
2004,1360
2005,1396
2006,1462
2007,1478
2008,1505
2009,1585
2010,1613
2011,1667
2012,1753
2013,1813
2014,1811
2015,1859
2016,1883
2017,1972
2018,2013
2019,2064
1990,668
1991,670
1992,708
1993,732
1994,753
1995,755
1996,768
1997,802
1998,806
1999,836
2000,865
2001,906
2002,938
2003,979
2004,991
2005,1018
2006,1035
2007,1039
2008,1094
2009,1132
2010,1146
2011,1153
2012,1197
2013,1224
2014,1279
2015,1324
2016,1375
2017,1446
2018,1485
2019,1517
1990,47078
1991,47898
1992,49311
1993,51003
1994,52572
1995,54492
1996,55907
1997,57687
1998,59271
1999,60134
2000,60780
2001,61870
2002,64169
2003,66271
2004,67109
2005,69741
2006,70588
2007,71827
2008,75631
2009,78836
2010,79007
2011,79957
2012,82363
2013,87008
2014,89821
2015,91814
2016,94653
2017,99314
2018,102409
2019,106421
1990,74
1991,75
1992,77
1993,78
1994,79
1995,80
1996,81
1997,81
1998,82
1999,82
2000,83
2001,84
2002,84
2003,85
2004,86
2005,87
2006,89
2007,90
2008,92
2009,94
2010,95
2011,96
2012,98
2013,100
2014,102
2015,103
2016,105
2017,107
2018,110
2019,112
1990,114810
1991,118172
1992,121792
1993,125766
1994,129453
1995,133038
1996,136732
1997,140770
1998,144381
1999,148363
2000,151672
2001,157067
2002,162261
2003,167576
2004,172462
2005,177878
2006,184209
2007,190481
2008,198284
2009,206501
2010,214066
2011,221948
2012,230220
2013,238558
2014,247523
2015,257627
2016,266003
2017,274225
2018,283889
2019,293600
1990,6280
1991,6444
1992,6032
1993,6086
1994,6622
1995,6601
1996,6108
1997,5487
1998,5211
1999,5229
2000,5267
2001,5248
2002,5400
2003,5557
2004,5623
2005,6006
2006,6007
2007,6094
2008,6164
2009,6320
2010,6616
2011,6133
2012,6265
2013,6221
2014,6580
2015,6896
2016,6779
2017,6421
2018,6328
2019,6245
1990,139
1991,141
1992,143
1993,146
1994,148
1995,152
1996,156
1997,161
1998,168
1999,176
2000,185
2001,192
2002,197
2003,201
2004,204
2005,206
2006,209
2007,211
2008,213
2009,215
2010,216
2011,218
2012,219
2013,221
2014,222
2015,222
2016,222
2017,223
2018,224
2019,225
2007,3914
2008,4036
2009,4229
1990,2920
1991,3017
1992,3082
1993,3149
1994,3202
1995,3297
1996,3363
1997,3356
1998,3366
1999,3390
2000,3425
2001,3510
2002,3534
2003,3583
2004,3633
2005,3727
2006,3834
2010,4401
2011,4543
2012,4633
2013,4734
2014,4827
2015,4985
2016,5261
2017,5478
2018,5702
2019,5961
1990,952
1991,941
1992,961
1993,1009
1994,1052
1995,1080
1996,1115
1997,1167
1998,1192
1999,1208
2000,1237
2001,1282
2002,1325
2003,1370
2004,1406
2005,1442
2006,1462
2007,1477
2008,1491
2009,1507
2010,1512
2011,1528
2012,1534
2013,1559
2014,1586
2015,1607
2016,1625
2017,1643
2018,1640
2019,1644
1990,11070
1991,11483
1992,12146
1993,12667
1994,12949
1995,13292
1996,13608
1997,14016
1998,14347
1999,14848
2000,14921
2001,15263
2002,15638
2003,16300
2004,16803
2005,17335
2006,17923
2007,18575
2008,19150
2009,19735
2010,20312
2011,20906
2012,21615
2013,23325
2014,23982
2015,24665
2016,25420
2017,26250
2018,27143
2019,27967
1990,5897
1991,5908
1992,5992
1993,6150
1994,6306
1995,6428
1996,6560
1997,6732
1998,6910
1999,7094
2000,7275
2001,7280
2002,7435
2003,7605
2004,7879
2005,8203
2006,8681
2007,9078
2008,9547
2009,9928
2010,10350
2011,10695
2012,11137
2013,11533
2014,11888
2015,12192
2016,12434
2017,12734
2018,13082
2019,13531
1990,33591
1991,34347
1992,35021
1993,35681
1994,36318
1995,36981
1996,37623
1997,38230
1998,38858
1999,39417
2000,39773
2001,39995
2002,40432
2003,41011
2004,41875
2005,42297
2006,42947
2007,43153
2008,43258
2009,43614
2010,43756
2011,44331
2012,44636
2013,45665
2014,46697
2015,47791
2016,49178
2017,50128
2018,51238
2019,52674
1990,613
1991,633
1992,659
1993,682
1994,714
1995,744
1996,773
1997,809
1998,854
1999,904
2000,960
2001,982
2002,1019
2003,1061
2004,1077
2005,1089
2006,1088
2007,1102
2008,1128
2009,1172
2010,1214
2011,1237
2012,1280
2013,1335
2014,1395
2015,1443
2016,1487
2017,1524
2018,1568
2019,1600
1990,7
1991,7
1992,7
1993,7
1994,7
1995,7
1996,8
1997,8
1998,8
1999,8
2000,8
2001,8
2002,8
2003,8
2004,8
2005,8
2006,8
2007,8
2008,8
2009,8
2010,7
2011,7
2012,7
2013,7
2014,7
2015,7
2016,7
2017,7
2018,8
2019,8
1990,9488
1991,9602
1992,9694
1993,9883
1994,9990
1995,10109
1996,10169
1997,10312
1998,10446
1999,10603
2000,10781
2001,10939
2002,11145
2003,11435
2004,11828
2005,12327
2006,12822
2007,13333
2008,13872
2009,14455
2010,15059
2011,15766
2012,16514
2013,17293
2014,18028
2015,18805
2016,19491
2017,20175
2018,20905
2019,21609
1990,36424
1991,37243
1992,37878
1993,38790
1994,38763
1995,38707
1996,39769
1997,40055
1998,40448
1999,40907
2000,40556
2001,40990
2002,41054
2003,39454
2004,41609
2005,42369
2006,43748
2007,44748
2008,46029
2009,47071
2010,48019
2011,48950
2012,50183
2013,50842
2014,51271
2015,52591
2016,53752
2017,54442
2018,55456
2019,56513
1992,
1990,6762
1991,6833
1992,6980
1993,7127
1994,7163
1995,7326
1996,7408
1997,7413
1998,7408
1999,7545
2000,7559
2001,7613
2002,7469
2003,7784
2004,7945
2005,8000
2006,8148
2007,8377
2008,8544
2009,8643
2010,8727
2011,8951
2012,9117
2013,9228
2014,9464
2015,9592
2016,9667
2017,9816
2018,10322
2019,10584
1990,1474
1991,1625
1992,1656
1993,1741
1994,1795
1995,2097
1996,2208
1997,2182
1998,2208
1999,2281
2000,2341
2001,2474
2002,2611
2003,2724
2004,2841
2005,3003
2006,2938
2007,3130
2008,3267
2009,3354
2010,3397
2011,3535
2012,3636
2013,3727
2014,3841
2015,3866
2016,4039
2017,4142
2018,4301
2019,4429
1990,2505
1991,2543
1992,2620
1993,2701
1994,2752
1995,2834
1996,2851
1997,2946
1998,3045
1999,3151
2000,3285
2001,3436
2002,3586
2003,3761
2004,3847
2005,4052
2006,4165
2007,4290
2008,4365
2009,4502
2010,4651
2011,4846
2012,5072
2013,5361
2014,5643
2015,5928
2016,6239
2017,6550
2018,6794
2019,6976
2007,55609
2008,57021
2009,59145
2013,70387
2016,75842
1990,34236
1991,35172
1992,36234
1993,37283
1994,38162
1995,38843
1996,39405
1997,40298
1998,41305
1999,42312
2000,43405
2001,44569
2002,46497
2003,48197
2004,50181
2005,51932
2006,53931
2010,61627
2011,64551
2012,67786
2014,72209
2015,73971
2017,77596
2018,79466
2019,81558
1990,3
1991,3
1992,3
1993,3
1994,3
1995,3
1996,3
1997,3
1998,3
1999,3
2000,3
2001,3
2002,3
2003,3
2004,3
2005,3
2006,3
2007,3
2008,3
2009,3
2010,3
2011,3
2012,3
2013,3
2014,3
2015,3
2016,3
2017,3
2018,3
2019,3
1990,593191
1991,599911
1992,607127
1993,623315
1994,631803
1995,642000
1996,643604
1997,644946
1998,651234
1999,660564
2000,666260
2001,670468
2002,676110
2003,679660
2004,677646
2005,685608
2006,691470
2007,699040
2008,711868
2009,720101
2010,724577
2011,737034
2012,747616
2013,759264
2014,771992
2015,784693
2016,800351
2017,812480
2018,841088
2019,867146
2008,35162
2010,36448
2011,36995
2012,37488
2013,37864
2014,38252
2015,38575
2016,39119
1990,23751
1991,24504
1992,25237
1993,25984
1994,26725
1995,27277
1996,27795
1997,28377
1998,28862
1999,29398
2000,29817
2001,30221
2002,30632
2003,31127
2004,31834
2005,32571
2006,33442
2007,34303
2009,35859
2017,39691
2018,40278
2019,40841
1990,2878
1991,2919
1992,3100
1993,3206
1994,3279
1995,3388
1996,3510
1997,3632
1998,3788
1999,3856
2000,3914
2001,4040
2002,4205
2003,4277
2004,4304
2005,4428
2006,4603
2007,4744
2008,4730
2009,4831
2010,4881
2011,4863
2012,4961
2013,4960
2014,5076
2015,5194
2016,5271
2017,5326
2018,5366
2019,5431
1990,3689
1991,3680
1992,3668
1993,3760
1994,3699
1995,3678
1996,3652
1997,3657
1998,3680
1999,3731
2000,3706
2001,3688
2002,3786
2003,3833
2004,3909
2005,3940
2006,4052
2007,4160
2008,4250
2009,4311
2010,4439
2011,4440
2012,4580
2013,4667
2014,4722
2015,4848
2016,4948
2017,5008
2018,5204
2019,5308
1990,31
1991,33
1992,33
1993,33
1994,33
1995,34
1996,35
1997,38
1998,40
1999,42
2000,45
2001,48
2002,49
2003,50
2004,51
2005,53
2006,55
2007,57
2008,59
2009,61
2010,63
2011,65
2012,66
2013,67
2014,69
2015,72
2016,75
2017,77
2018,79
2019,80
1990,10388
1991,10387
1992,10522
1993,10706
1994,10776
1995,10809
1996,10860
1997,10912
1998,11042
1999,11119
2000,11208
2001,11256
2002,11381
2003,11314
2004,11316
2005,11335
2006,11486
2007,11722
2008,11816
2009,11891
2010,11956
2011,12212
2012,12260
2013,12342
2014,12247
2015,12264
2016,12389
2017,12301
2018,12492
2019,12675
1990,2189591
1991,2223300
1992,2252734
1993,2294658
1994,2323109
1995,2365756
1996,2383833
1997,2404971
1998,2445031
1999,2485480
2000,2503595
2001,2525986
2002,2560198
2003,2591306
2004,2603058
2005,2638912
2006,2665979
2007,2707326
2008,2753506
2009,2792938
2010,2817445
2011,2857608
2012,2897315
2013,2932212
2014,2960255
2015,3011309
2016,3045619
2017,3088459
2018,3159285
2019,3229597
2009,1079
2015,1312
1990,565
1991,584
1992,605
1993,621
1994,643
1995,666
1996,693
1997,717
1998,733
1999,745
2000,766
2001,791
2002,818
2003,831
2004,829
2005,858
2006,917
2007,981
2008,1033
2010,1112
2011,1188
2012,1255
2013,1270
2014,1273
2016,1361
2017,1387
2018,1364
2019,1368
2007,125500
2008,129673
2009,133173
2012,143873
2014,154842
2015,159325
2016,164509
1990,73424
1991,76026
1992,78867
1993,81439
1994,84711
1995,88769
1996,91579
1997,95215
1998,98038
1999,101664
2000,106261
2001,109200
2002,111979
2003,114605
2004,117338
2005,120275
2006,123105
2010,136615
2011,139633
2013,149631
2017,169459
2018,174568
2019,179773
1990,18
1991,19
1992,19
1993,20
1994,21
1995,21
1996,22
1997,23
1998,23
1999,24
2000,25
2001,25
2002,26
2003,26
2004,27
2005,27
2006,27
2007,28
2008,28
2009,28
2010,28
2011,29
2012,29
2013,30
2014,31
2015,32
2016,32
2017,33
2018,34
2019,36
2009,1830
2010,1921
2011,2022
2012,2083
2013,2185
2014,2345
2016,2575
1990,1117
1991,1132
1992,1144
1993,1164
1994,1185
1995,1211
1996,1242
1997,1271
1998,1300
1999,1330
2000,1372
2001,1423
2002,1472
2003,1513
2004,1563
2005,1622
2006,1681
2007,1715
2008,1760
2015,2489
2017,2670
2018,2777
2019,2907
1990,1617
1991,1646
1992,1737
1993,1838
1994,1845
1995,1926
1996,1934
1997,2056
1998,2131
1999,2154
2000,2134
2001,2198
2002,2291
2003,2424
2004,2479
2005,2570
2006,2666
2007,2696
2008,2816
2009,2919
2010,3000
2011,3109
2012,3236
2013,3349
2014,3455
2015,3535
2016,3635
2017,3769
2018,3865
2019,3984
1990,1988
1991,2051
1992,2120
1993,2171
1994,2224
1995,2292
1996,2372
1997,2452
1998,2557
1999,2654
2000,2730
2001,2819
2002,2930
2003,3035
2004,3155
2005,3293
2006,3410
2007,3546
2008,3660
2009,3770
2010,3977
2011,4155
2012,4305
2013,4427
2014,4593
2015,4810
2016,4965
2017,5187
2018,5435
2019,5645
1990,2038
1991,2055
1992,2232
1993,2360
1994,2476
1995,2642
1996,2843
1997,2947
1998,3108
1999,3298
2000,3432
2001,3506
2002,3620
2003,3805
2004,4010
2005,4082
2006,4196
2007,4220
2008,4332
2009,4539
2010,4675
2011,4724
2012,4803
2013,5018
2014,5060
2015,5250
2016,5606
2017,5776
2018,5947
2019,6141
1990,15471
1991,15088
1992,16529
1993,17174
1994,17890
1995,18737
1996,18528
1997,19174
1998,19784
1999,19728
2000,20609
2001,20665
2002,21307
2003,22211
2004,22130
2005,22512
2006,22708
2007,22700
2008,23815
2009,26895
2010,28160
2011,28655
2012,29039
2013,29424
2014,29454
2015,29809
2016,30576
2017,31489
2018,32440
2019,33395
1990,37671
1991,38512
1992,40353
1993,42098
1994,43698
1995,45116
1996,46862
1997,47673
1998,48247
1999,47259
2000,47488
2001,47959
2002,48516
2003,48567
2004,49006
2005,50595
2006,51598
2007,52671
2008,54937
2009,56646
2010,58356
2011,60414
2012,63191
2013,65965
2014,68477
2015,71673
2016,74132
2017,76389
2018,78774
2019,81321
1990,83481
1991,87179
1992,86706
1993,85489
1994,86828
1995,89491
1996,89537
1997,91819
1998,93108
1999,96568
2000,96092
2001,97163
2002,98014
2003,99203
2004,101511
2005,102910
2006,104899
2007,106968
2008,107728
2009,108732
2010,107855
2011,108955
2012,111800
2013,112743
2014,112543
2015,116526
2016,117099
2017,118598
2018,120475
2019,122080
1990,21692
1991,22256
1992,22507
1993,23058
1994,22954
1995,23596
1996,24252
1997,24501
1998,24954
1999,25441
2000,25653
2001,25980
2002,26386
2003,26827
2004,26661
2005,27013
2006,27265
2007,27795
2008,28256
2009,28688
2010,28997
2011,29275
2012,29551
2013,29741
2014,29722
2015,29906
2016,30531
2017,30871
2018,31172
2019,31651
1990,4521
1991,4625
1992,4744
1993,4896
1994,4907
1995,5153
1996,5235
1997,5096
1998,5401
1999,5259
2000,5308
2001,5480
2002,5352
2003,5481
2004,5633
2005,5690
2006,5679
2007,5810
2008,5913
2009,6129
2010,6005
2011,6368
2012,6172
2013,6375
2014,6357
2015,6212
2016,6485
2017,6651
2018,6822
2019,6936
1990,135
1991,143
1992,150
1993,156
1994,158
1995,164
1996,181
1997,194
1998,204
1999,211
2000,217
2001,228
2002,246
2003,263
2004,277
